                                                                                                     
{'loss': 0.6931, 'grad_norm': 126.0, 'learning_rate': 0.0, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -73.44515228271484, 'logps/rejected': -77.38186645507812, 'logits/chosen': 0.7641758322715759, 'logits/rejected': 0.41689828038215637, 'epoch': 0.0}
{'loss': 0.6845, 'grad_norm': 144.0, 'learning_rate': 1.2605042016806723e-05, 'rewards/chosen': 0.9463698267936707, 'rewards/rejected': 0.8960435390472412, 'rewards/accuracies': 0.75, 'rewards/margins': 0.05032617598772049, 'logps/chosen': -102.08597564697266, 'logps/rejected': -104.0856704711914, 'logits/chosen': 0.4909610152244568, 'logits/rejected': 0.3770439028739929, 'epoch': 0.01}
{'loss': 0.2693, 'grad_norm': 111.0, 'learning_rate': 1.3445378151260504e-05, 'rewards/chosen': 0.37078428268432617, 'rewards/rejected': -0.8139336109161377, 'rewards/accuracies': 1.0, 'rewards/margins': 1.1847178936004639, 'logps/chosen': -69.45635223388672, 'logps/rejected': -89.439697265625, 'logits/chosen': 0.35969114303588867, 'logits/rejected': 0.5516172647476196, 'epoch': 0.01}
{'loss': 0.2295, 'grad_norm': 105.0, 'learning_rate': 1.4285714285714285e-05, 'rewards/chosen': 0.7607312798500061, 'rewards/rejected': -0.6499471664428711, 'rewards/accuracies': 1.0, 'rewards/margins': 1.4106783866882324, 'logps/chosen': -86.25435638427734, 'logps/rejected': -94.12283325195312, 'logits/chosen': 0.7660292387008667, 'logits/rejected': 0.5489684343338013, 'epoch': 0.02}
{'loss': 0.5137, 'grad_norm': 54.0, 'learning_rate': 1.5126050420168067e-05, 'rewards/chosen': 0.6904860734939575, 'rewards/rejected': 0.06685992330312729, 'rewards/accuracies': 0.75, 'rewards/margins': 0.6236261129379272, 'logps/chosen': -42.64021301269531, 'logps/rejected': -57.43166732788086, 'logits/chosen': 0.5022567510604858, 'logits/rejected': 0.23780256509780884, 'epoch': 0.02}
{'loss': 0.3971, 'grad_norm': 110.0, 'learning_rate': 1.5966386554621848e-05, 'rewards/chosen': 1.2683671712875366, 'rewards/rejected': 0.10369275510311127, 'rewards/accuracies': 1.0, 'rewards/margins': 1.1646745204925537, 'logps/chosen': -79.88560485839844, 'logps/rejected': -85.24626159667969, 'logits/chosen': 0.3815835118293762, 'logits/rejected': 0.3950289189815521, 'epoch': 0.02}
{'loss': 0.5112, 'grad_norm': 100.5, 'learning_rate': 1.6806722689075634e-05, 'rewards/chosen': 0.4230439364910126, 'rewards/rejected': -0.09845037758350372, 'rewards/accuracies': 0.75, 'rewards/margins': 0.5214942693710327, 'logps/chosen': -59.24210739135742, 'logps/rejected': -72.87847137451172, 'logits/chosen': -0.3005249798297882, 'logits/rejected': -0.11462520062923431, 'epoch': 0.02}
{'loss': 0.6261, 'grad_norm': 159.0, 'learning_rate': 1.7647058823529414e-05, 'rewards/chosen': 0.9821068048477173, 'rewards/rejected': -0.09945765137672424, 'rewards/accuracies': 0.5, 'rewards/margins': 1.0815645456314087, 'logps/chosen': -69.42814636230469, 'logps/rejected': -78.96636962890625, 'logits/chosen': -0.9708840847015381, 'logits/rejected': -1.2015702724456787, 'epoch': 0.02}
{'loss': 0.3999, 'grad_norm': 203.0, 'learning_rate': 1.8487394957983196e-05, 'rewards/chosen': 0.9087995886802673, 'rewards/rejected': -0.13125212490558624, 'rewards/accuracies': 0.75, 'rewards/margins': 1.0400516986846924, 'logps/chosen': -62.870784759521484, 'logps/rejected': -90.235595703125, 'logits/chosen': -0.803891122341156, 'logits/rejected': -0.8422732949256897, 'epoch': 0.02}
{'loss': 0.7793, 'grad_norm': 151.0, 'learning_rate': 1.9327731092436976e-05, 'rewards/chosen': 0.6669045686721802, 'rewards/rejected': 0.40127429366111755, 'rewards/accuracies': 0.5, 'rewards/margins': 0.26563024520874023, 'logps/chosen': -62.88184356689453, 'logps/rejected': -69.19573211669922, 'logits/chosen': -0.10386309027671814, 'logits/rejected': -0.3394240736961365, 'epoch': 0.02}
{'loss': 0.3464, 'grad_norm': 104.0, 'learning_rate': 2.016806722689076e-05, 'rewards/chosen': 0.1779816448688507, 'rewards/rejected': -0.9214069843292236, 'rewards/accuracies': 1.0, 'rewards/margins': 1.099388599395752, 'logps/chosen': -70.39572143554688, 'logps/rejected': -100.75492858886719, 'logits/chosen': -0.7845835089683533, 'logits/rejected': -0.7305070161819458, 'epoch': 0.02}
{'loss': 1.1954, 'grad_norm': 580.0, 'learning_rate': 2.100840336134454e-05, 'rewards/chosen': -0.14043068885803223, 'rewards/rejected': -0.4471472501754761, 'rewards/accuracies': 0.25, 'rewards/margins': 0.30671656131744385, 'logps/chosen': -93.84966278076172, 'logps/rejected': -77.28871154785156, 'logits/chosen': -0.871843159198761, 'logits/rejected': -0.6426655054092407, 'epoch': 0.02}
{'loss': 0.4683, 'grad_norm': 125.0, 'learning_rate': 2.184873949579832e-05, 'rewards/chosen': 0.268746554851532, 'rewards/rejected': -1.432368516921997, 'rewards/accuracies': 0.75, 'rewards/margins': 1.7011148929595947, 'logps/chosen': -74.8326187133789, 'logps/rejected': -91.25288391113281, 'logits/chosen': -0.40421056747436523, 'logits/rejected': -0.39430487155914307, 'epoch': 0.02}
{'loss': 0.5286, 'grad_norm': 253.0, 'learning_rate': 2.26890756302521e-05, 'rewards/chosen': 0.6536818146705627, 'rewards/rejected': 0.09753619134426117, 'rewards/accuracies': 0.75, 'rewards/margins': 0.5561455488204956, 'logps/chosen': -73.06954193115234, 'logps/rejected': -57.7983512878418, 'logits/chosen': -0.9149413108825684, 'logits/rejected': -0.48994573950767517, 'epoch': 0.02}
{'loss': 0.526, 'grad_norm': 109.0, 'learning_rate': 2.3529411764705884e-05, 'rewards/chosen': -0.09296111762523651, 'rewards/rejected': -1.1417417526245117, 'rewards/accuracies': 0.75, 'rewards/margins': 1.0487806797027588, 'logps/chosen': -60.19403076171875, 'logps/rejected': -77.2041015625, 'logits/chosen': -1.2546675205230713, 'logits/rejected': -1.0712710618972778, 'epoch': 0.02}
{'loss': 0.7734, 'grad_norm': 298.0, 'learning_rate': 2.4369747899159663e-05, 'rewards/chosen': 0.09724125266075134, 'rewards/rejected': -3.0983803272247314, 'rewards/accuracies': 0.75, 'rewards/margins': 3.1956217288970947, 'logps/chosen': -82.06592559814453, 'logps/rejected': -121.82772827148438, 'logits/chosen': -1.0888433456420898, 'logits/rejected': -0.5348669290542603, 'epoch': 0.03}
{'loss': 0.1797, 'grad_norm': 126.5, 'learning_rate': 2.5210084033613446e-05, 'rewards/chosen': 0.7760579586029053, 'rewards/rejected': -1.8327059745788574, 'rewards/accuracies': 1.0, 'rewards/margins': 2.6087636947631836, 'logps/chosen': -60.7042236328125, 'logps/rejected': -92.01107025146484, 'logits/chosen': -0.499692440032959, 'logits/rejected': -0.29086965322494507, 'epoch': 0.03}
{'loss': 0.256, 'grad_norm': 104.0, 'learning_rate': 2.605042016806723e-05, 'rewards/chosen': 1.478717565536499, 'rewards/rejected': -1.5072534084320068, 'rewards/accuracies': 1.0, 'rewards/margins': 2.985970973968506, 'logps/chosen': -63.537437438964844, 'logps/rejected': -95.64971923828125, 'logits/chosen': -0.4591044485569, 'logits/rejected': -0.5022246837615967, 'epoch': 0.03}
{'loss': 0.4034, 'grad_norm': 75.5, 'learning_rate': 2.689075630252101e-05, 'rewards/chosen': -0.09254579246044159, 'rewards/rejected': -1.024998426437378, 'rewards/accuracies': 0.75, 'rewards/margins': 0.9324526786804199, 'logps/chosen': -81.18095397949219, 'logps/rejected': -91.46504211425781, 'logits/chosen': -0.5973960161209106, 'logits/rejected': -0.5979872941970825, 'epoch': 0.03}
{'loss': 1.3822, 'grad_norm': 199.0, 'learning_rate': 2.773109243697479e-05, 'rewards/chosen': -0.002163618803024292, 'rewards/rejected': 0.8278304934501648, 'rewards/accuracies': 0.5, 'rewards/margins': -0.8299940824508667, 'logps/chosen': -74.45858764648438, 'logps/rejected': -75.99539184570312, 'logits/chosen': 0.024574659764766693, 'logits/rejected': 0.09780804067850113, 'epoch': 0.03}
{'loss': 0.1329, 'grad_norm': 40.5, 'learning_rate': 2.857142857142857e-05, 'rewards/chosen': -0.6629620790481567, 'rewards/rejected': -2.901577949523926, 'rewards/accuracies': 1.0, 'rewards/margins': 2.2386157512664795, 'logps/chosen': -61.06378936767578, 'logps/rejected': -90.1344985961914, 'logits/chosen': -0.21067598462104797, 'logits/rejected': -0.18648198246955872, 'epoch': 0.03}
{'loss': 0.1857, 'grad_norm': 40.25, 'learning_rate': 2.9411764705882354e-05, 'rewards/chosen': 1.4285762310028076, 'rewards/rejected': -1.0524981021881104, 'rewards/accuracies': 1.0, 'rewards/margins': 2.481074333190918, 'logps/chosen': -41.879051208496094, 'logps/rejected': -72.24488830566406, 'logits/chosen': -0.4375998079776764, 'logits/rejected': -0.4288184940814972, 'epoch': 0.03}
{'loss': 0.5926, 'grad_norm': 129.0, 'learning_rate': 3.0252100840336133e-05, 'rewards/chosen': -0.8014709949493408, 'rewards/rejected': -1.0167393684387207, 'rewards/accuracies': 1.0, 'rewards/margins': 0.21526843309402466, 'logps/chosen': -70.48823547363281, 'logps/rejected': -75.5313720703125, 'logits/chosen': -0.28248584270477295, 'logits/rejected': -0.2555736303329468, 'epoch': 0.03}
{'loss': 0.121, 'grad_norm': 35.5, 'learning_rate': 3.1092436974789916e-05, 'rewards/chosen': 1.0336906909942627, 'rewards/rejected': -2.5462708473205566, 'rewards/accuracies': 1.0, 'rewards/margins': 3.5799615383148193, 'logps/chosen': -42.3179817199707, 'logps/rejected': -94.3341064453125, 'logits/chosen': -0.7968096733093262, 'logits/rejected': -0.39923346042633057, 'epoch': 0.03}
{'loss': 0.4667, 'grad_norm': 97.0, 'learning_rate': 3.1932773109243696e-05, 'rewards/chosen': -2.5612480640411377, 'rewards/rejected': -3.3642430305480957, 'rewards/accuracies': 0.5, 'rewards/margins': 0.8029949069023132, 'logps/chosen': -95.52140808105469, 'logps/rejected': -114.72530364990234, 'logits/chosen': -0.30433228611946106, 'logits/rejected': -0.3192040026187897, 'epoch': 0.03}
{'loss': 0.8344, 'grad_norm': 245.0, 'learning_rate': 3.277310924369748e-05, 'rewards/chosen': -3.426771879196167, 'rewards/rejected': -3.8104264736175537, 'rewards/accuracies': 0.75, 'rewards/margins': 0.38365471363067627, 'logps/chosen': -108.77764892578125, 'logps/rejected': -108.66732788085938, 'logits/chosen': -0.9033584594726562, 'logits/rejected': -0.8694717884063721, 'epoch': 0.03}
{'loss': 0.868, 'grad_norm': 192.0, 'learning_rate': 3.361344537815127e-05, 'rewards/chosen': -3.3112571239471436, 'rewards/rejected': -3.4413723945617676, 'rewards/accuracies': 0.75, 'rewards/margins': 0.13011503219604492, 'logps/chosen': -98.48046112060547, 'logps/rejected': -102.25016784667969, 'logits/chosen': -0.5113080143928528, 'logits/rejected': -0.473898708820343, 'epoch': 0.03}
{'loss': 0.5501, 'grad_norm': 144.0, 'learning_rate': 3.445378151260504e-05, 'rewards/chosen': -4.982387542724609, 'rewards/rejected': -6.399847507476807, 'rewards/accuracies': 0.75, 'rewards/margins': 1.4174598455429077, 'logps/chosen': -127.79521179199219, 'logps/rejected': -140.18397521972656, 'logits/chosen': -1.0091496706008911, 'logits/rejected': -1.0040678977966309, 'epoch': 0.04}
{'loss': 0.6151, 'grad_norm': 156.0, 'learning_rate': 3.529411764705883e-05, 'rewards/chosen': -5.522231578826904, 'rewards/rejected': -7.34649658203125, 'rewards/accuracies': 0.5, 'rewards/margins': 1.8242648839950562, 'logps/chosen': -131.11654663085938, 'logps/rejected': -164.88299560546875, 'logits/chosen': -0.9870448708534241, 'logits/rejected': -0.8860292434692383, 'epoch': 0.04}
{'loss': 0.7803, 'grad_norm': 195.0, 'learning_rate': 3.613445378151261e-05, 'rewards/chosen': -5.5932464599609375, 'rewards/rejected': -5.455463409423828, 'rewards/accuracies': 0.5, 'rewards/margins': -0.13778358697891235, 'logps/chosen': -106.26409912109375, 'logps/rejected': -102.73579406738281, 'logits/chosen': -1.2400437593460083, 'logits/rejected': -1.1987297534942627, 'epoch': 0.04}
{'loss': 0.72, 'grad_norm': 229.0, 'learning_rate': 3.697478991596639e-05, 'rewards/chosen': -3.597695827484131, 'rewards/rejected': -4.133693218231201, 'rewards/accuracies': 0.75, 'rewards/margins': 0.535997211933136, 'logps/chosen': -111.19276428222656, 'logps/rejected': -130.15524291992188, 'logits/chosen': -0.5928391814231873, 'logits/rejected': -0.6085325479507446, 'epoch': 0.04}
{'loss': 0.5026, 'grad_norm': 168.0, 'learning_rate': 3.7815126050420166e-05, 'rewards/chosen': -3.9593276977539062, 'rewards/rejected': -5.098968029022217, 'rewards/accuracies': 0.5, 'rewards/margins': 1.1396404504776, 'logps/chosen': -122.26634979248047, 'logps/rejected': -133.5116729736328, 'logits/chosen': -1.0362874269485474, 'logits/rejected': -1.004528522491455, 'epoch': 0.04}
{'loss': 1.0199, 'grad_norm': 268.0, 'learning_rate': 3.865546218487395e-05, 'rewards/chosen': -4.684573650360107, 'rewards/rejected': -5.212233543395996, 'rewards/accuracies': 0.75, 'rewards/margins': 0.5276596546173096, 'logps/chosen': -113.82441711425781, 'logps/rejected': -110.61305236816406, 'logits/chosen': -0.9616024494171143, 'logits/rejected': -0.8322538733482361, 'epoch': 0.04}
{'loss': 0.3477, 'grad_norm': 166.0, 'learning_rate': 3.949579831932773e-05, 'rewards/chosen': -4.239567756652832, 'rewards/rejected': -5.567212104797363, 'rewards/accuracies': 0.75, 'rewards/margins': 1.3276444673538208, 'logps/chosen': -136.05078125, 'logps/rejected': -144.01853942871094, 'logits/chosen': -0.7969521284103394, 'logits/rejected': -0.8483204245567322, 'epoch': 0.04}
{'loss': 0.7522, 'grad_norm': 147.0, 'learning_rate': 4.033613445378152e-05, 'rewards/chosen': -8.379986763000488, 'rewards/rejected': -10.019402503967285, 'rewards/accuracies': 0.5, 'rewards/margins': 1.6394152641296387, 'logps/chosen': -148.05934143066406, 'logps/rejected': -187.26870727539062, 'logits/chosen': -0.7506837248802185, 'logits/rejected': -1.0121089220046997, 'epoch': 0.04}
{'loss': 0.4711, 'grad_norm': 105.0, 'learning_rate': 4.11764705882353e-05, 'rewards/chosen': -3.702859878540039, 'rewards/rejected': -5.076690196990967, 'rewards/accuracies': 0.75, 'rewards/margins': 1.3738300800323486, 'logps/chosen': -114.23828125, 'logps/rejected': -130.270751953125, 'logits/chosen': -0.3731926679611206, 'logits/rejected': -0.9214328527450562, 'epoch': 0.04}
{'loss': 0.6513, 'grad_norm': 180.0, 'learning_rate': 4.201680672268908e-05, 'rewards/chosen': -5.305155277252197, 'rewards/rejected': -5.616545677185059, 'rewards/accuracies': 0.75, 'rewards/margins': 0.31139060854911804, 'logps/chosen': -133.0238037109375, 'logps/rejected': -144.59823608398438, 'logits/chosen': -0.5575294494628906, 'logits/rejected': -0.5059850215911865, 'epoch': 0.04}
{'loss': 0.5912, 'grad_norm': 125.5, 'learning_rate': 4.2857142857142856e-05, 'rewards/chosen': -1.9688760042190552, 'rewards/rejected': -3.290029764175415, 'rewards/accuracies': 0.75, 'rewards/margins': 1.3211536407470703, 'logps/chosen': -94.19609069824219, 'logps/rejected': -99.1890869140625, 'logits/chosen': 0.01769115775823593, 'logits/rejected': -0.13762620091438293, 'epoch': 0.04}
{'loss': 0.437, 'grad_norm': 62.0, 'learning_rate': 4.369747899159664e-05, 'rewards/chosen': -0.6675180196762085, 'rewards/rejected': -2.3878519535064697, 'rewards/accuracies': 0.5, 'rewards/margins': 1.7203339338302612, 'logps/chosen': -54.481117248535156, 'logps/rejected': -93.03971862792969, 'logits/chosen': 0.2419256567955017, 'logits/rejected': -0.4487954080104828, 'epoch': 0.04}
{'loss': 1.0664, 'grad_norm': 270.0, 'learning_rate': 4.453781512605042e-05, 'rewards/chosen': -4.907896041870117, 'rewards/rejected': -4.346092224121094, 'rewards/accuracies': 0.25, 'rewards/margins': -0.5618037581443787, 'logps/chosen': -153.8316650390625, 'logps/rejected': -150.30117797851562, 'logits/chosen': 0.31005263328552246, 'logits/rejected': 0.2848726511001587, 'epoch': 0.05}
{'loss': 0.8414, 'grad_norm': 111.0, 'learning_rate': 4.53781512605042e-05, 'rewards/chosen': -1.458786964416504, 'rewards/rejected': -1.7008390426635742, 'rewards/accuracies': 0.5, 'rewards/margins': 0.24205225706100464, 'logps/chosen': -65.69076538085938, 'logps/rejected': -70.7587890625, 'logits/chosen': 0.5298747420310974, 'logits/rejected': 0.5159584283828735, 'epoch': 0.05}
{'loss': 0.5264, 'grad_norm': 141.0, 'learning_rate': 4.621848739495799e-05, 'rewards/chosen': -1.044177770614624, 'rewards/rejected': -1.9972643852233887, 'rewards/accuracies': 0.75, 'rewards/margins': 0.9530865550041199, 'logps/chosen': -102.52359008789062, 'logps/rejected': -117.76763916015625, 'logits/chosen': 0.5199646353721619, 'logits/rejected': 0.5555368661880493, 'epoch': 0.05}
{'loss': 0.9038, 'grad_norm': 111.5, 'learning_rate': 4.705882352941177e-05, 'rewards/chosen': -1.1679353713989258, 'rewards/rejected': -0.9851281642913818, 'rewards/accuracies': 0.25, 'rewards/margins': -0.18280717730522156, 'logps/chosen': -100.45317840576172, 'logps/rejected': -110.300537109375, 'logits/chosen': 0.44278332591056824, 'logits/rejected': 0.44049423933029175, 'epoch': 0.05}
{'loss': 0.5902, 'grad_norm': 67.5, 'learning_rate': 4.7899159663865554e-05, 'rewards/chosen': -2.3768725395202637, 'rewards/rejected': -2.645550489425659, 'rewards/accuracies': 0.75, 'rewards/margins': 0.26867809891700745, 'logps/chosen': -85.89600372314453, 'logps/rejected': -91.23096466064453, 'logits/chosen': 0.6983733773231506, 'logits/rejected': 0.6713688969612122, 'epoch': 0.05}
{'loss': 1.2456, 'grad_norm': 122.5, 'learning_rate': 4.8739495798319326e-05, 'rewards/chosen': -1.0206115245819092, 'rewards/rejected': -0.9507381916046143, 'rewards/accuracies': 0.5, 'rewards/margins': -0.0698733925819397, 'logps/chosen': -104.01243591308594, 'logps/rejected': -117.50873565673828, 'logits/chosen': 0.5225053429603577, 'logits/rejected': 0.340263307094574, 'epoch': 0.05}
{'loss': 0.7072, 'grad_norm': 117.5, 'learning_rate': 4.957983193277311e-05, 'rewards/chosen': -4.216524124145508, 'rewards/rejected': -4.590487480163574, 'rewards/accuracies': 0.5, 'rewards/margins': 0.3739631772041321, 'logps/chosen': -107.10760498046875, 'logps/rejected': -106.27085876464844, 'logits/chosen': 0.381011039018631, 'logits/rejected': 0.2882034480571747, 'epoch': 0.05}
{'loss': 0.6838, 'grad_norm': 83.0, 'learning_rate': 5.042016806722689e-05, 'rewards/chosen': -3.2101011276245117, 'rewards/rejected': -4.2518696784973145, 'rewards/accuracies': 0.5, 'rewards/margins': 1.0417687892913818, 'logps/chosen': -99.59608459472656, 'logps/rejected': -109.63327026367188, 'logits/chosen': 0.5627080202102661, 'logits/rejected': 0.479328989982605, 'epoch': 0.05}
{'loss': 0.4413, 'grad_norm': 43.25, 'learning_rate': 5.126050420168067e-05, 'rewards/chosen': -0.43398788571357727, 'rewards/rejected': -2.588904857635498, 'rewards/accuracies': 0.75, 'rewards/margins': 2.154917001724243, 'logps/chosen': -78.35387420654297, 'logps/rejected': -94.43853759765625, 'logits/chosen': 1.0366933345794678, 'logits/rejected': 0.8603661060333252, 'epoch': 0.05}
{'loss': 0.6029, 'grad_norm': 76.5, 'learning_rate': 5.210084033613446e-05, 'rewards/chosen': 0.2765972912311554, 'rewards/rejected': -0.6402250528335571, 'rewards/accuracies': 0.5, 'rewards/margins': 0.9168223142623901, 'logps/chosen': -71.00499725341797, 'logps/rejected': -80.74044799804688, 'logits/chosen': 0.23137283325195312, 'logits/rejected': 0.11166378855705261, 'epoch': 0.05}
{'loss': 0.8019, 'grad_norm': 63.25, 'learning_rate': 5.294117647058824e-05, 'rewards/chosen': 0.2147291898727417, 'rewards/rejected': 0.19084206223487854, 'rewards/accuracies': 0.5, 'rewards/margins': 0.02388712763786316, 'logps/chosen': -63.589359283447266, 'logps/rejected': -62.48973083496094, 'logits/chosen': 0.5250023007392883, 'logits/rejected': 0.36144423484802246, 'epoch': 0.05}
{'loss': 0.399, 'grad_norm': 87.5, 'learning_rate': 5.378151260504202e-05, 'rewards/chosen': -8.049901008605957, 'rewards/rejected': -9.591979026794434, 'rewards/accuracies': 0.75, 'rewards/margins': 1.5420775413513184, 'logps/chosen': -148.24166870117188, 'logps/rejected': -170.0279541015625, 'logits/chosen': 0.6403040885925293, 'logits/rejected': 0.676429033279419, 'epoch': 0.06}
{'loss': 1.4657, 'grad_norm': 194.0, 'learning_rate': 5.4621848739495796e-05, 'rewards/chosen': -1.7199351787567139, 'rewards/rejected': -2.4357004165649414, 'rewards/accuracies': 0.25, 'rewards/margins': 0.7157653570175171, 'logps/chosen': -110.73023986816406, 'logps/rejected': -94.76008605957031, 'logits/chosen': 0.1476340889930725, 'logits/rejected': 0.06175461411476135, 'epoch': 0.06}
{'loss': 1.1121, 'grad_norm': 112.0, 'learning_rate': 5.546218487394958e-05, 'rewards/chosen': -0.3304406404495239, 'rewards/rejected': -1.4035513401031494, 'rewards/accuracies': 0.75, 'rewards/margins': 1.0731106996536255, 'logps/chosen': -63.40626525878906, 'logps/rejected': -110.92146301269531, 'logits/chosen': 0.8040914535522461, 'logits/rejected': 1.0756077766418457, 'epoch': 0.06}
